Lower layer Super Output Areas Code,Lower layer Super Output Areas,Economic activity status (20 categories) Code,Economic activity status (20 categories),Observation
E01000174,Barnet 006D,8,Economically active and a full-time student: In employment: Employee: Part-time,8
E01000174,Barnet 006D,9,Economically active and a full-time student: In employment: Employee: Full-time,3
E01000174,Barnet 006D,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000174,Barnet 006D,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000174,Barnet 006D,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,1
E01000174,Barnet 006D,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,1
E01000174,Barnet 006D,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,9
E01000174,Barnet 006D,15,Economically inactive: Retired,228
E01000174,Barnet 006D,16,Economically inactive: Student,84
E01000174,Barnet 006D,17,Economically inactive: Looking after home or family,77
E01000174,Barnet 006D,18,Economically inactive: Long-term sick or disabled,39
E01000174,Barnet 006D,19,Economically inactive: Other,82
E01000175,Barnet 006E,-8,Does not apply,521
E01000175,Barnet 006E,1,Economically active (excluding full-time students): In employment: Employee: Part-time,254
E01000175,Barnet 006E,2,Economically active (excluding full-time students): In employment: Employee: Full-time,501
E01000175,Barnet 006E,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,5
E01000175,Barnet 006E,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,24
E01000175,Barnet 006E,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,111
E01000175,Barnet 006E,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,115
E01000175,Barnet 006E,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,51
E01000175,Barnet 006E,8,Economically active and a full-time student: In employment: Employee: Part-time,8
E01000175,Barnet 006E,9,Economically active and a full-time student: In employment: Employee: Full-time,1
E01000175,Barnet 006E,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000175,Barnet 006E,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000175,Barnet 006E,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,1
E01000175,Barnet 006E,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,2
E01000175,Barnet 006E,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,9
E01000175,Barnet 006E,15,Economically inactive: Retired,268
E01000175,Barnet 006E,16,Economically inactive: Student,62
E01000175,Barnet 006E,17,Economically inactive: Looking after home or family,54
E01000175,Barnet 006E,18,Economically inactive: Long-term sick or disabled,18
E01000175,Barnet 006E,19,Economically inactive: Other,25
E01000176,Barnet 027A,-8,Does not apply,244
E01000176,Barnet 027A,1,Economically active (excluding full-time students): In employment: Employee: Part-time,156
E01000176,Barnet 027A,2,Economically active (excluding full-time students): In employment: Employee: Full-time,430
E01000176,Barnet 027A,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,5
E01000176,Barnet 027A,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,18
E01000176,Barnet 027A,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,65
E01000176,Barnet 027A,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,53
E01000176,Barnet 027A,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,105
E01000176,Barnet 027A,8,Economically active and a full-time student: In employment: Employee: Part-time,8
E01000176,Barnet 027A,9,Economically active and a full-time student: In employment: Employee: Full-time,4
E01000176,Barnet 027A,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000176,Barnet 027A,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000176,Barnet 027A,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
E01000176,Barnet 027A,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,2
E01000176,Barnet 027A,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,6
E01000176,Barnet 027A,15,Economically inactive: Retired,313
E01000176,Barnet 027A,16,Economically inactive: Student,122
E01000176,Barnet 027A,17,Economically inactive: Looking after home or family,66
E01000176,Barnet 027A,18,Economically inactive: Long-term sick or disabled,78
E01000176,Barnet 027A,19,Economically inactive: Other,48
E01000177,Barnet 029A,-8,Does not apply,385
E01000177,Barnet 029A,1,Economically active (excluding full-time students): In employment: Employee: Part-time,131
E01000177,Barnet 029A,2,Economically active (excluding full-time students): In employment: Employee: Full-time,491
E01000177,Barnet 029A,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,6
E01000177,Barnet 029A,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,15
E01000177,Barnet 029A,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,103
E01000177,Barnet 029A,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,106
E01000177,Barnet 029A,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,44
E01000177,Barnet 029A,8,Economically active and a full-time student: In employment: Employee: Part-time,7
E01000177,Barnet 029A,9,Economically active and a full-time student: In employment: Employee: Full-time,6
E01000177,Barnet 029A,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000177,Barnet 029A,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000177,Barnet 029A,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
E01000177,Barnet 029A,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,1
E01000177,Barnet 029A,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,5
E01000177,Barnet 029A,15,Economically inactive: Retired,190
E01000177,Barnet 029A,16,Economically inactive: Student,64
E01000177,Barnet 029A,17,Economically inactive: Looking after home or family,52
E01000177,Barnet 029A,18,Economically inactive: Long-term sick or disabled,16
E01000177,Barnet 029A,19,Economically inactive: Other,41
E01000178,Barnet 027B,-8,Does not apply,363
E01000178,Barnet 027B,1,Economically active (excluding full-time students): In employment: Employee: Part-time,149
E01000178,Barnet 027B,2,Economically active (excluding full-time students): In employment: Employee: Full-time,451
E01000178,Barnet 027B,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,2
E01000178,Barnet 027B,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,18
E01000178,Barnet 027B,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,100
E01000178,Barnet 027B,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,81
E01000178,Barnet 027B,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,47
E01000178,Barnet 027B,8,Economically active and a full-time student: In employment: Employee: Part-time,7
E01000178,Barnet 027B,9,Economically active and a full-time student: In employment: Employee: Full-time,1
E01000178,Barnet 027B,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000178,Barnet 027B,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000178,Barnet 027B,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,1
E01000178,Barnet 027B,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01000178,Barnet 027B,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,3
E01000178,Barnet 027B,15,Economically inactive: Retired,212
E01000178,Barnet 027B,16,Economically inactive: Student,100
E01000178,Barnet 027B,17,Economically inactive: Looking after home or family,67
E01000178,Barnet 027B,18,Economically inactive: Long-term sick or disabled,29
E01000178,Barnet 027B,19,Economically inactive: Other,41
E01000179,Barnet 029B,-8,Does not apply,387
E01000179,Barnet 029B,1,Economically active (excluding full-time students): In employment: Employee: Part-time,137
E01000179,Barnet 029B,2,Economically active (excluding full-time students): In employment: Employee: Full-time,635
E01000179,Barnet 029B,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,7
E01000179,Barnet 029B,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,21
E01000179,Barnet 029B,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,109
E01000179,Barnet 029B,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,94
E01000179,Barnet 029B,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,38
E01000179,Barnet 029B,8,Economically active and a full-time student: In employment: Employee: Part-time,6
E01000179,Barnet 029B,9,Economically active and a full-time student: In employment: Employee: Full-time,7
E01000179,Barnet 029B,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000179,Barnet 029B,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,1
E01000179,Barnet 029B,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,1
E01000179,Barnet 029B,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,3
E01000179,Barnet 029B,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,4
E01000179,Barnet 029B,15,Economically inactive: Retired,135
E01000179,Barnet 029B,16,Economically inactive: Student,81
E01000179,Barnet 029B,17,Economically inactive: Looking after home or family,54
E01000179,Barnet 029B,18,Economically inactive: Long-term sick or disabled,24
E01000179,Barnet 029B,19,Economically inactive: Other,47
E01000180,Barnet 029C,-8,Does not apply,314
E01000180,Barnet 029C,1,Economically active (excluding full-time students): In employment: Employee: Part-time,144
E01000180,Barnet 029C,2,Economically active (excluding full-time students): In employment: Employee: Full-time,445
E01000180,Barnet 029C,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,6
E01000180,Barnet 029C,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,10
E01000180,Barnet 029C,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,58
E01000180,Barnet 029C,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,74
E01000180,Barnet 029C,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,47
E01000180,Barnet 029C,8,Economically active and a full-time student: In employment: Employee: Part-time,11
E01000180,Barnet 029C,9,Economically active and a full-time student: In employment: Employee: Full-time,7
E01000180,Barnet 029C,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000180,Barnet 029C,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000180,Barnet 029C,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
E01000180,Barnet 029C,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,2
E01000180,Barnet 029C,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,15
E01000180,Barnet 029C,15,Economically inactive: Retired,253
E01000180,Barnet 029C,16,Economically inactive: Student,80
E01000180,Barnet 029C,17,Economically inactive: Looking after home or family,65
E01000180,Barnet 029C,18,Economically inactive: Long-term sick or disabled,32
E01000180,Barnet 029C,19,Economically inactive: Other,52
E01000181,Barnet 029D,-8,Does not apply,287
E01000181,Barnet 029D,1,Economically active (excluding full-time students): In employment: Employee: Part-time,139
E01000181,Barnet 029D,2,Economically active (excluding full-time students): In employment: Employee: Full-time,594
E01000181,Barnet 029D,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,6
E01000181,Barnet 029D,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,20
E01000181,Barnet 029D,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,96
E01000181,Barnet 029D,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,91
E01000181,Barnet 029D,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,43
E01000181,Barnet 029D,8,Economically active and a full-time student: In employment: Employee: Part-time,10
E01000181,Barnet 029D,9,Economically active and a full-time student: In employment: Employee: Full-time,6
E01000181,Barnet 029D,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000181,Barnet 029D,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000181,Barnet 029D,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,2
E01000181,Barnet 029D,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01000181,Barnet 029D,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,5
E01000181,Barnet 029D,15,Economically inactive: Retired,212
E01000181,Barnet 029D,16,Economically inactive: Student,62
E01000181,Barnet 029D,17,Economically inactive: Looking after home or family,56
E01000181,Barnet 029D,18,Economically inactive: Long-term sick or disabled,18
E01000181,Barnet 029D,19,Economically inactive: Other,40
E01000182,Barnet 029E,-8,Does not apply,263
E01000182,Barnet 029E,1,Economically active (excluding full-time students): In employment: Employee: Part-time,119
E01000182,Barnet 029E,2,Economically active (excluding full-time students): In employment: Employee: Full-time,523
E01000182,Barnet 029E,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,2
E01000182,Barnet 029E,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,16
E01000182,Barnet 029E,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,103
E01000182,Barnet 029E,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,92
E01000182,Barnet 029E,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,49
E01000182,Barnet 029E,8,Economically active and a full-time student: In employment: Employee: Part-time,17
E01000182,Barnet 029E,9,Economically active and a full-time student: In employment: Employee: Full-time,7
E01000182,Barnet 029E,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,1
E01000182,Barnet 029E,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000182,Barnet 029E,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,1
E01000182,Barnet 029E,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,1
E01000182,Barnet 029E,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,5
E01000182,Barnet 029E,15,Economically inactive: Retired,247
E01000182,Barnet 029E,16,Economically inactive: Student,73
E01000182,Barnet 029E,17,Economically inactive: Looking after home or family,36
E01000182,Barnet 029E,18,Economically inactive: Long-term sick or disabled,25
E01000182,Barnet 029E,19,Economically inactive: Other,35
E01000183,Barnet 033A,-8,Does not apply,320
E01000183,Barnet 033A,1,Economically active (excluding full-time students): In employment: Employee: Part-time,96
E01000183,Barnet 033A,2,Economically active (excluding full-time students): In employment: Employee: Full-time,384
E01000183,Barnet 033A,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,10
E01000183,Barnet 033A,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,20
E01000183,Barnet 033A,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,79
E01000183,Barnet 033A,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,73
E01000183,Barnet 033A,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,44
E01000183,Barnet 033A,8,Economically active and a full-time student: In employment: Employee: Part-time,6
E01000183,Barnet 033A,9,Economically active and a full-time student: In employment: Employee: Full-time,2
E01000183,Barnet 033A,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000183,Barnet 033A,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000183,Barnet 033A,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,2
E01000183,Barnet 033A,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01000183,Barnet 033A,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,4
E01000183,Barnet 033A,15,Economically inactive: Retired,275
E01000183,Barnet 033A,16,Economically inactive: Student,63
E01000183,Barnet 033A,17,Economically inactive: Looking after home or family,72
E01000183,Barnet 033A,18,Economically inactive: Long-term sick or disabled,46
E01000183,Barnet 033A,19,Economically inactive: Other,28
E01000184,Barnet 027C,-8,Does not apply,358
E01000184,Barnet 027C,1,Economically active (excluding full-time students): In employment: Employee: Part-time,131
E01000184,Barnet 027C,2,Economically active (excluding full-time students): In employment: Employee: Full-time,472
E01000184,Barnet 027C,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,8
E01000184,Barnet 027C,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,20
E01000184,Barnet 027C,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,72
E01000184,Barnet 027C,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,89
E01000184,Barnet 027C,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,74
E01000184,Barnet 027C,8,Economically active and a full-time student: In employment: Employee: Part-time,23
E01000184,Barnet 027C,9,Economically active and a full-time student: In employment: Employee: Full-time,1
E01000184,Barnet 027C,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000184,Barnet 027C,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000184,Barnet 027C,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,2
E01000184,Barnet 027C,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01000184,Barnet 027C,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,41
E01000184,Barnet 027C,15,Economically inactive: Retired,170
E01000184,Barnet 027C,16,Economically inactive: Student,179
E01000184,Barnet 027C,17,Economically inactive: Looking after home or family,95
E01000184,Barnet 027C,18,Economically inactive: Long-term sick or disabled,68
E01000184,Barnet 027C,19,Economically inactive: Other,65
E01000185,Barnet 029F,-8,Does not apply,241
E01000185,Barnet 029F,1,Economically active (excluding full-time students): In employment: Employee: Part-time,135
E01000185,Barnet 029F,2,Economically active (excluding full-time students): In employment: Employee: Full-time,350
E01000185,Barnet 029F,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,3
E01000185,Barnet 029F,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,18
E01000185,Barnet 029F,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,49
E01000185,Barnet 029F,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,56
E01000185,Barnet 029F,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,88
E01000185,Barnet 029F,8,Economically active and a full-time student: In employment: Employee: Part-time,16
E01000185,Barnet 029F,9,Economically active and a full-time student: In employment: Employee: Full-time,2
E01000185,Barnet 029F,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,3
E01000185,Barnet 029F,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000185,Barnet 029F,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,1
E01000185,Barnet 029F,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01000185,Barnet 029F,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,13
E01000185,Barnet 029F,15,Economically inactive: Retired,136
E01000185,Barnet 029F,16,Economically inactive: Student,96
E01000185,Barnet 029F,17,Economically inactive: Looking after home or family,78
E01000185,Barnet 029F,18,Economically inactive: Long-term sick or disabled,113
E01000185,Barnet 029F,19,Economically inactive: Other,71
E01000186,Barnet 014A,-8,Does not apply,459
E01000186,Barnet 014A,1,Economically active (excluding full-time students): In employment: Employee: Part-time,230
E01000186,Barnet 014A,2,Economically active (excluding full-time students): In employment: Employee: Full-time,357
E01000186,Barnet 014A,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,7
E01000186,Barnet 014A,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,28
E01000186,Barnet 014A,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,79
E01000186,Barnet 014A,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,122
E01000186,Barnet 014A,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,37
E01000186,Barnet 014A,8,Economically active and a full-time student: In employment: Employee: Part-time,9
E01000186,Barnet 014A,9,Economically active and a full-time student: In employment: Employee: Full-time,2
E01000186,Barnet 014A,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000186,Barnet 014A,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000186,Barnet 014A,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,5
E01000186,Barnet 014A,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,2
E01000186,Barnet 014A,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,2
E01000186,Barnet 014A,15,Economically inactive: Retired,236
E01000186,Barnet 014A,16,Economically inactive: Student,92
E01000186,Barnet 014A,17,Economically inactive: Looking after home or family,53
E01000186,Barnet 014A,18,Economically inactive: Long-term sick or disabled,12
E01000186,Barnet 014A,19,Economically inactive: Other,35
E01000187,Barnet 014B,-8,Does not apply,484
E01000187,Barnet 014B,1,Economically active (excluding full-time students): In employment: Employee: Part-time,189
E01000187,Barnet 014B,2,Economically active (excluding full-time students): In employment: Employee: Full-time,319
E01000187,Barnet 014B,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,8
E01000187,Barnet 014B,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,24
E01000187,Barnet 014B,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,79
E01000187,Barnet 014B,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,77
E01000187,Barnet 014B,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,42
E01000187,Barnet 014B,8,Economically active and a full-time student: In employment: Employee: Part-time,7
E01000187,Barnet 014B,9,Economically active and a full-time student: In employment: Employee: Full-time,2
E01000187,Barnet 014B,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,1
E01000187,Barnet 014B,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000187,Barnet 014B,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,1
E01000187,Barnet 014B,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01000187,Barnet 014B,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,10
E01000187,Barnet 014B,15,Economically inactive: Retired,275
E01000187,Barnet 014B,16,Economically inactive: Student,80
E01000187,Barnet 014B,17,Economically inactive: Looking after home or family,70
E01000187,Barnet 014B,18,Economically inactive: Long-term sick or disabled,20
E01000187,Barnet 014B,19,Economically inactive: Other,50
E01000188,Barnet 014C,-8,Does not apply,373
E01000188,Barnet 014C,1,Economically active (excluding full-time students): In employment: Employee: Part-time,158
E01000188,Barnet 014C,2,Economically active (excluding full-time students): In employment: Employee: Full-time,312
E01000188,Barnet 014C,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,16
E01000188,Barnet 014C,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,48
E01000188,Barnet 014C,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,93
E01000188,Barnet 014C,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,87
E01000188,Barnet 014C,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,22
E01000188,Barnet 014C,8,Economically active and a full-time student: In employment: Employee: Part-time,9
E01000188,Barnet 014C,9,Economically active and a full-time student: In employment: Employee: Full-time,2
E01000188,Barnet 014C,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000188,Barnet 014C,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000188,Barnet 014C,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,2
E01000188,Barnet 014C,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01000188,Barnet 014C,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,9
E01000188,Barnet 014C,15,Economically inactive: Retired,239
E01000188,Barnet 014C,16,Economically inactive: Student,89
E01000188,Barnet 014C,17,Economically inactive: Looking after home or family,70
E01000188,Barnet 014C,18,Economically inactive: Long-term sick or disabled,24
E01000188,Barnet 014C,19,Economically inactive: Other,26
E01000189,Barnet 014D,-8,Does not apply,570
E01000189,Barnet 014D,1,Economically active (excluding full-time students): In employment: Employee: Part-time,214
E01000189,Barnet 014D,2,Economically active (excluding full-time students): In employment: Employee: Full-time,782
E01000189,Barnet 014D,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,5
E01000189,Barnet 014D,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,28
E01000189,Barnet 014D,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,79
E01000189,Barnet 014D,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,97
E01000189,Barnet 014D,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,96
E01000189,Barnet 014D,8,Economically active and a full-time student: In employment: Employee: Part-time,15
E01000189,Barnet 014D,9,Economically active and a full-time student: In employment: Employee: Full-time,11
E01000189,Barnet 014D,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,2
E01000189,Barnet 014D,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,1
E01000189,Barnet 014D,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,7
E01000189,Barnet 014D,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01000189,Barnet 014D,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,18
E01000189,Barnet 014D,15,Economically inactive: Retired,106
E01000189,Barnet 014D,16,Economically inactive: Student,121
E01000189,Barnet 014D,17,Economically inactive: Looking after home or family,139
E01000189,Barnet 014D,18,Economically inactive: Long-term sick or disabled,78
E01000189,Barnet 014D,19,Economically inactive: Other,94
E01000190,Barnet 014E,-8,Does not apply,384
E01000190,Barnet 014E,1,Economically active (excluding full-time students): In employment: Employee: Part-time,163
E01000190,Barnet 014E,2,Economically active (excluding full-time students): In employment: Employee: Full-time,400
E01000190,Barnet 014E,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,10
E01000190,Barnet 014E,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,28
E01000190,Barnet 014E,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,74
E01000190,Barnet 014E,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,107
E01000190,Barnet 014E,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,50
E01000190,Barnet 014E,8,Economically active and a full-time student: In employment: Employee: Part-time,6
E01000190,Barnet 014E,9,Economically active and a full-time student: In employment: Employee: Full-time,4
E01000190,Barnet 014E,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000190,Barnet 014E,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000190,Barnet 014E,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
E01000190,Barnet 014E,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01000190,Barnet 014E,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,8
